noOfCharacters,noOfWords,noOfUniqueWords,sentCount,noOfCommas,noOfSemicolons,noOfQuestions,noOfExclamation,noOfSpellErrors,meanWorldLength,avgWordLength,avgSentenceLength,stdDeviationSentence,noOfNounCount,noOfVerbCount,noOfAdjCount,noOfAdvCount,keywordRelevance,score
668,81,59,11,0,0,0,0,4,0,0.04,11.363636363636363,7.314651887233252,25,28,10,3,6,12.0
462,74,52,7,0,0,0,0,2,0,0.009433962264150943,15.142857142857142,6.998542122237652,18,13,4,2,3,15.0
1169,151,116,13,14,14,1,1,14,0,0.018867924528301886,16.307692307692307,6.626109374571701,49,23,16,7,1,24.0
1273,189,110,21,4,4,0,0,3,0,0.003875968992248062,12.285714285714286,3.917516914514882,58,25,22,13,6,24.0
390,55,48,7,0,0,0,0,0,0,0.04938271604938271,11.571428571428571,5.066899385990914,16,8,3,4,1,15.0
1252,164,125,12,26,26,2,0,17,0,0.011811023622047244,21.166666666666668,12.766057426716449,57,24,15,9,8,15.0
334,48,41,1,4,4,0,0,8,0,0.1,70.0,0.0,13,9,6,5,2,9.0
1203,174,124,25,2,2,0,0,15,0,0.004032258064516129,9.92,7.227281646649727,45,27,21,14,1,17.0
400,57,45,5,3,3,3,0,4,0,0.011627906976744186,17.2,9.239047569960878,19,6,3,3,1,12.0
1096,163,100,14,2,2,0,0,6,0,0.008403361344537815,17.0,8.968197780411147,32,31,17,10,2,18.0
487,72,49,7,0,0,1,0,1,0,0.00909090909090909,15.714285714285714,8.907689867497083,15,21,7,4,6,14.0
554,74,61,8,1,1,0,0,8,0,0.034782608695652174,14.375,7.364399160827718,21,14,5,2,0,16.0
528,84,56,15,0,0,24,0,9,0,0.008695652173913044,7.666666666666667,5.962847939999438,25,10,5,5,3,12.0
490,61,54,7,6,6,0,0,6,0,0.08791208791208792,13.0,6.233549779791836,30,8,6,3,3,8.0
907,130,90,18,2,2,0,1,4,0,0.005434782608695652,10.222222222222221,4.441665798068152,39,17,11,9,2,18.0
1584,240,139,29,7,7,0,0,18,0,0.011494252873563218,12.0,6.7261712221995085,64,34,19,16,1,16.0
656,97,70,8,3,3,0,0,5,0,0.02158273381294964,17.375,6.243746871871088,31,8,8,7,8,19.0
1114,161,113,9,4,4,0,0,13,0,0.01293103448275862,25.77777777777778,30.37827358776071,39,31,17,7,2,19.0
412,64,45,2,3,3,1,0,7,0,0.03225806451612903,46.5,17.5,16,9,5,5,2,12.0
535,76,59,6,0,0,3,0,4,0,0.02702702702702703,18.5,13.524668819112232,20,12,6,7,2,14.0
638,89,54,14,0,0,0,1,3,0,0.023255813953488372,9.214285714285714,4.245646029061023,24,10,8,7,3,17.0
384,57,47,2,0,0,0,0,4,0,0.06666666666666667,37.5,29.5,16,5,10,4,1,14.0
823,110,77,11,1,1,6,0,7,0,0.024691358024691357,14.727272727272727,9.87274401471877,39,20,10,2,2,16.0
936,127,94,11,4,4,0,5,12,0,0.015789473684210527,17.272727272727273,9.303869274182349,34,23,13,6,3,18.0
324,47,40,4,1,1,0,0,1,0,0.0136986301369863,18.25,8.584142356694699,11,8,2,2,3,16.0
668,94,62,7,1,1,0,1,3,0,0.02097902097902098,20.428571428571427,14.519515368310756,18,14,5,11,6,19.0
680,88,69,14,3,3,1,0,10,0,0.06504065040650407,8.785714285714286,3.1208646107076397,27,14,5,7,5,20.0
312,46,38,8,0,0,3,0,2,0,0.07936507936507936,7.875,6.603739470936145,9,11,4,6,1,6.0
567,76,62,7,0,0,0,0,8,0,0.05357142857142857,16.0,11.538754575033526,26,10,9,5,1,16.0
730,104,74,16,0,0,0,0,6,0,0.012987012987012988,9.625,4.136348026943574,32,7,13,6,6,18.0
1717,239,172,23,20,20,1,1,21,0,0.02373887240356083,14.652173913043478,9.594421819823786,66,43,28,19,7,21.0
512,72,55,12,0,0,3,0,3,0,0.035398230088495575,9.416666666666666,3.3530665897884515,10,22,6,8,4,17.0
588,87,64,10,6,6,0,0,7,0,0.02459016393442623,12.2,6.368673331236263,26,7,8,5,5,17.0
657,84,69,6,2,2,0,0,1,0,0.045454545454545456,22.0,9.363047936792093,30,17,9,7,2,11.0
233,38,25,2,2,2,0,0,0,0,0.07142857142857142,28.0,16.0,8,4,2,2,3,11.0
737,116,83,18,9,9,0,5,18,0,0.006666666666666667,8.333333333333334,3.9157800414902435,30,18,13,6,2,21.0
186,29,21,3,0,0,0,0,1,0,0.17073170731707318,13.666666666666666,2.6246692913372702,6,5,2,1,2,14.0
665,85,65,8,1,1,1,0,2,0,0.03076923076923077,16.25,7.327175444876422,22,21,12,5,9,14.0
376,50,42,5,2,2,0,0,3,0,0.0273972602739726,14.6,7.002856560004639,13,16,5,3,1,12.0
310,45,35,6,0,0,0,2,3,0,0.01639344262295082,10.166666666666666,4.597704741377907,13,10,5,5,3,9.0
736,97,90,6,4,4,0,0,8,0,0.019736842105263157,25.333333333333332,7.972173828734265,29,14,9,7,0,16.0
1334,193,124,20,1,1,6,3,10,0,0.0176678445229682,14.15,7.85668505159778,47,33,14,15,3,21.0
525,78,59,8,6,6,0,1,7,0,0.019230769230769232,13.0,4.527692569068709,20,10,5,10,4,19.0
1022,150,111,17,7,7,3,5,22,0,0.004608294930875576,12.764705882352942,7.534465215923782,43,25,9,11,3,16.0
591,89,58,14,1,1,3,0,1,0,0.046511627906976744,9.214285714285714,5.621115438728348,25,21,3,2,7,10.0
1406,215,135,31,3,3,1,3,22,0,0.010344827586206896,9.35483870967742,5.397421051413676,56,23,18,15,2,20.0
489,68,52,10,0,0,0,0,2,0,0.00980392156862745,10.2,5.688585061331157,18,8,4,5,4,14.0
753,107,82,15,18,18,0,1,24,0,0.007246376811594203,9.2,6.101365967278693,39,14,17,4,3,23.0
785,119,85,18,8,8,1,0,14,0,0.005813953488372093,9.555555555555555,2.6920092087968257,36,11,9,11,5,17.0
690,93,64,11,2,2,0,1,6,0,0.027586206896551724,13.181818181818182,4.667453691997613,28,7,8,4,4,16.0
1209,179,131,20,14,14,2,1,15,0,0.01984126984126984,12.6,10.933434958877289,46,38,10,13,2,24.0
954,133,91,10,12,12,3,0,10,0,0.005076142131979695,19.7,9.788258272031854,39,16,9,12,2,19.0
1779,258,167,23,12,12,1,5,17,0,0.002777777777777778,15.652173913043478,6.203846602343294,70,39,20,14,7,24.0
1024,140,104,14,3,3,1,0,8,0,0.0196078431372549,14.571428571428571,9.147320339189783,40,21,14,21,2,21.0
1110,167,110,18,4,4,0,3,9,0,0.008888888888888889,12.5,5.610010893235612,45,30,14,15,4,17.0
978,138,82,12,1,1,3,0,2,0,0.01507537688442211,16.583333333333332,6.129958310534329,43,17,15,6,2,19.0
975,118,100,13,16,16,0,1,15,0,0.011627906976744186,13.23076923076923,8.116022577913833,39,16,16,6,2,24.0
1208,173,130,23,5,5,2,1,8,0,0.004016064257028112,10.826086956521738,7.328634571875631,39,35,10,17,2,24.0
426,59,51,9,2,2,1,0,6,0,0.056818181818181816,9.777777777777779,6.19637488604386,14,8,7,5,1,14.0
556,79,68,10,4,4,0,0,5,0,0.04504504504504504,11.1,4.109744517606903,26,17,5,5,5,15.0
1085,154,125,18,4,4,1,2,9,0,0.013953488372093023,11.944444444444445,7.051179745437578,51,16,16,7,3,24.0
762,110,77,14,7,7,0,0,6,0,0.019867549668874173,10.785714285714286,4.828169890320339,27,16,10,6,4,16.0
963,127,106,15,15,15,0,6,19,0,0.03260869565217391,12.266666666666667,6.865048352989867,41,13,15,3,2,22.0
700,104,84,13,2,2,12,0,7,0,0.02027027027027027,11.384615384615385,6.427566372077042,37,12,11,0,1,19.0
1162,163,100,18,0,0,0,0,5,0,0.004149377593360996,13.38888888888889,8.340922470226,43,21,10,19,7,17.0
1169,179,115,9,5,5,3,1,24,0,0.003937007874015748,28.22222222222222,26.55299848218769,46,33,13,12,1,23.0
1252,172,120,32,2,2,2,8,20,0,0.01593625498007968,7.84375,6.759758570947634,59,21,12,5,0,19.0
1344,201,134,22,0,0,0,0,3,0,0.017064846416382253,13.318181818181818,5.691990893402633,50,37,10,17,8,17.0
533,70,51,10,3,3,14,0,5,0,0.010309278350515464,9.7,4.712748667179271,24,13,11,3,9,12.0
1142,146,102,11,1,1,1,2,11,0,0.004347826086956522,20.90909090909091,9.662058367699215,40,40,18,11,9,15.0
1815,270,146,20,3,3,0,0,11,0,0.002577319587628866,19.4,13.730986854556374,61,48,13,12,7,22.0
630,90,64,12,5,5,1,6,7,0,0.03125,10.666666666666666,6.168918507773917,15,32,8,9,8,14.0
835,120,82,8,2,2,0,0,2,0,0.022099447513812154,22.625,10.546770832818925,29,11,7,11,3,16.0
182,28,24,3,1,1,0,0,0,0,0.075,13.333333333333334,1.699673171197595,7,5,0,1,0,11.0
483,68,45,1,3,3,0,1,6,0,0.009615384615384616,104.0,0.0,23,11,7,0,3,10.0
123,20,18,1,0,0,0,0,4,0,0.1,30.0,0.0,7,1,1,2,0,8.0
1193,172,112,15,11,11,0,0,11,0,0.00398406374501992,16.733333333333334,6.845598748263166,40,29,18,9,4,17.0
899,127,87,10,3,3,0,0,4,0,0.010526315789473684,19.0,7.835815209663893,39,23,8,2,2,20.0
641,94,69,4,0,0,0,0,4,0,0.00684931506849315,36.5,4.769696007084728,23,13,8,4,4,13.0
528,77,54,4,1,1,0,0,2,0,0.02459016393442623,30.5,14.974979131871937,25,15,7,0,3,10.0
365,52,41,6,2,2,3,0,3,0,0.05063291139240506,13.166666666666666,5.013869652163774,12,6,7,5,5,14.0
1197,182,121,15,11,11,0,0,16,0,0.007633587786259542,17.466666666666665,9.979089248133931,49,41,11,10,9,23.0
408,56,47,5,1,1,0,0,4,0,0.05952380952380952,16.8,12.95221988695374,15,13,3,5,1,12.0
1240,184,135,19,4,4,1,0,9,0,0.007407407407407408,14.210526315789474,7.688535192557957,52,27,16,7,0,23.0
477,79,50,14,0,0,15,0,5,0,0.009708737864077669,7.357142857142857,5.149301517919589,23,10,4,3,4,13.0
424,60,39,2,2,2,0,0,4,0,0.031578947368421054,47.5,16.5,12,8,4,3,1,11.0
692,107,72,4,1,1,0,0,6,0,0.01948051948051948,38.5,23.13547060251855,39,10,10,4,1,17.0
869,125,89,23,14,14,28,1,21,0,0.023121387283236993,7.521739130434782,7.394884043641495,37,22,13,9,6,18.0
909,138,89,15,16,16,0,1,23,0,0.020618556701030927,12.933333333333334,12.535106257582697,47,22,6,7,3,17.0
1137,162,96,13,9,9,0,1,9,0,0.0163265306122449,18.846153846153847,13.178339768470625,40,22,15,8,3,16.0
841,124,91,16,3,3,0,0,5,0,0.017241379310344827,10.875,6.909006802717739,26,21,8,8,3,23.0
810,117,80,14,0,0,6,11,10,0,0.017341040462427744,12.357142857142858,8.320432190501565,22,13,11,15,4,20.0
1108,155,115,22,6,6,0,3,7,0,0.021929824561403508,10.363636363636363,5.6852716777289345,42,28,18,5,7,19.0
986,141,104,12,1,1,0,0,7,0,0.023148148148148147,18.0,4.163331998932265,39,22,10,5,3,16.0
1259,168,127,23,12,12,0,4,12,0,0.00819672131147541,10.608695652173912,7.6541499424923085,50,23,17,9,6,16.0
733,110,78,7,9,9,6,1,7,0,0.006172839506172839,23.142857142857142,11.825258335185644,29,15,11,3,2,17.0
1525,209,159,22,12,12,1,5,32,0,0.026755852842809364,13.590909090909092,7.6137381268640185,62,42,32,13,7,24.0
831,138,89,24,1,1,0,0,9,0,0.011494252873563218,7.25,3.2818947779192027,32,17,17,9,6,19.0
537,69,52,5,1,1,0,0,4,0,0.0660377358490566,21.2,14.958609561052123,20,13,2,9,2,16.0
485,73,53,2,1,1,0,0,9,0,0.027522935779816515,54.5,40.5,21,10,5,3,1,15.0
592,74,55,8,0,0,0,0,4,0,0.017241379310344827,14.5,3.5,26,17,6,7,4,13.0
1265,170,124,16,1,1,1,1,6,0,0.015037593984962405,16.625,7.817248556877285,41,24,18,16,6,21.0
630,87,66,6,1,1,0,0,2,0,0.023622047244094488,21.166666666666668,12.62823115967641,22,16,8,3,4,15.0
1136,171,110,21,4,4,0,2,5,0,0.012244897959183673,11.666666666666666,7.259367238156003,37,20,10,17,4,23.0
552,84,55,13,0,0,0,0,2,0,0.023076923076923078,10.0,5.038314736557789,25,8,4,5,2,11.0
463,66,51,5,5,5,0,1,8,0,0.03,20.0,10.639548862616309,21,7,8,3,5,16.0
640,91,71,11,6,6,0,3,10,0,0.04032258064516129,11.272727272727273,9.955271870548234,26,28,9,3,7,10.0
387,57,44,13,1,1,24,0,6,0,0.05063291139240506,6.076923076923077,5.5533986608553985,14,13,9,1,2,15.0
1242,175,127,21,1,1,0,0,15,0,0.011857707509881422,12.047619047619047,4.498425020426493,49,32,14,14,3,16.0
639,92,69,9,0,0,0,0,4,0,0.029197080291970802,15.222222222222221,11.113333111155544,17,11,11,10,3,16.0
852,123,92,27,1,1,12,5,7,0,0.011695906432748537,6.333333333333333,2.372684056006958,37,20,11,12,4,21.0
665,94,75,10,3,3,3,0,3,0,0.05755395683453238,13.9,8.466994744299775,31,13,8,4,1,15.0
705,100,69,13,2,2,1,0,4,0,0.05555555555555555,11.076923076923077,5.2251100608435985,33,22,7,6,3,18.0
1331,180,127,16,1,1,0,7,14,0,0.010830324909747292,17.3125,7.4558596922152445,44,42,23,6,5,17.0
1088,149,99,14,2,2,0,0,11,0,0.025974025974025976,16.5,10.85455796296784,41,28,15,7,3,17.0
971,141,106,12,10,10,0,1,10,0,0.01932367149758454,17.25,7.949056547792323,36,15,12,7,6,19.0
618,92,68,8,4,4,0,2,4,0,0.030303030303030304,16.5,8.470537173048708,24,10,9,7,4,11.0
1252,177,107,18,1,1,0,0,3,0,0.014925373134328358,14.88888888888889,12.196943555611195,44,24,18,8,4,19.0
1654,230,141,21,14,14,0,2,18,0,0.0243161094224924,15.666666666666666,6.228454928282841,68,40,23,15,8,24.0
1410,205,141,19,1,1,0,1,16,0,0.003436426116838488,15.31578947368421,10.553386244179476,59,29,30,7,9,18.0
804,107,81,9,2,2,0,0,10,0,0.011834319526627219,18.77777777777778,8.270130695968176,25,19,12,8,1,17.0
974,130,102,14,6,6,2,4,12,0,0.01,14.285714285714286,9.527618286018896,39,23,17,10,4,22.0
847,110,94,16,7,7,1,3,7,0,0.02531645569620253,9.875,7.192661190407901,38,15,13,6,7,24.0
606,83,70,9,6,6,3,0,5,0,0.04065040650406504,13.666666666666666,4.268749491621899,25,12,12,9,4,16.0
1022,142,106,12,10,10,0,0,12,0,0.004830917874396135,17.25,9.61877504328557,42,17,12,15,4,22.0
606,90,61,11,5,5,0,0,7,0,0.015267175572519083,11.909090909090908,4.870216449446863,30,20,10,2,2,18.0
1665,252,168,37,5,5,27,6,26,0,0.008849557522123894,9.162162162162161,6.643482941599613,68,42,25,14,7,23.0
688,100,70,5,0,0,12,0,2,0,0.013422818791946308,29.8,33.46281518342412,28,12,4,10,3,16.0
505,76,58,10,1,1,0,2,2,0,0.027522935779816515,10.9,6.331666447310692,15,9,5,8,2,17.0
1829,258,175,32,7,7,1,6,25,0,0.005633802816901409,11.09375,8.783362735165843,78,29,27,16,5,24.0
318,50,41,7,0,0,6,0,7,0,0.030303030303030304,9.428571428571429,2.6649654437396615,18,8,4,4,1,12.0
703,103,72,10,1,1,3,0,2,0,0.006535947712418301,15.3,10.640018796975877,30,20,6,9,6,17.0
570,71,53,7,1,1,0,0,1,0,0.04672897196261682,15.285714285714286,8.189091798838009,22,20,5,2,5,10.0
584,74,64,7,0,0,0,0,3,0,0.035398230088495575,16.142857142857142,4.580348440537542,16,13,11,5,3,18.0
664,110,75,16,1,1,3,2,7,0,0.02054794520547945,9.125,4.044672421840859,32,16,8,1,7,18.0
781,121,79,11,7,7,0,0,13,0,0.018292682926829267,14.909090909090908,12.645189854101876,23,22,12,9,3,17.0
413,53,36,7,2,2,0,0,2,0,0.08433734939759036,11.857142857142858,3.8332593899996397,20,12,4,2,5,14.0
831,117,76,11,1,1,0,0,2,0,0.005434782608695652,16.727272727272727,6.297054276563246,28,18,11,7,3,18.0
831,120,89,18,1,1,2,0,4,0,0.011695906432748537,9.5,7.51480021173033,41,16,11,3,4,23.0
451,62,45,3,0,0,0,0,4,0,0.030612244897959183,32.666666666666664,12.036980056845191,19,9,4,1,2,15.0
840,131,89,15,2,2,1,1,12,0,0.015544041450777202,12.866666666666667,7.356327586204651,38,17,11,7,4,16.0
710,106,68,8,2,2,0,0,3,0,0.006666666666666667,18.75,10.231690964840562,27,16,7,7,5,17.0
834,111,85,10,3,3,0,0,6,0,0.01744186046511628,17.2,8.874683092933516,28,20,10,6,3,18.0
783,103,76,11,1,1,12,0,13,0,0.047619047619047616,13.363636363636363,6.650669512062502,25,28,18,7,4,13.0
914,146,78,9,1,1,0,0,3,0,0.004807692307692308,23.11111111111111,16.83544174547945,44,20,5,5,2,14.0
810,123,91,17,0,0,2,0,3,0,0.005780346820809248,10.176470588235293,4.435621769766789,30,26,14,5,4,19.0
972,153,90,2,0,0,0,0,10,0,0.03587443946188341,111.5,103.5,30,38,13,5,3,13.0
618,92,62,10,0,0,9,0,4,0,0.007352941176470588,13.6,11.672189169131897,27,12,7,4,0,11.0
1174,159,108,19,7,7,2,0,7,0,0.004484304932735426,11.736842105263158,3.6395792883411517,47,20,12,7,3,22.0
750,94,74,12,0,0,0,0,4,0,0.058823529411764705,11.333333333333334,5.343739847293799,32,25,8,3,8,11.0
377,52,46,7,0,0,0,0,3,0,0.013513513513513514,10.571428571428571,7.442295015789204,18,12,1,5,3,14.0
832,109,65,11,3,3,0,0,6,0,0.023529411764705882,15.454545454545455,8.553187990064782,35,27,4,6,6,10.0
444,59,45,6,0,0,3,0,1,0,0.011627906976744186,14.333333333333334,8.65383665716478,12,8,7,6,6,17.0
506,70,56,10,3,3,2,0,5,0,0.07766990291262135,10.3,4.172529209005012,19,10,11,6,1,16.0
903,127,95,12,5,5,0,1,9,0,0.037037037037037035,15.75,5.875443245690774,39,18,13,4,4,19.0
570,81,59,12,1,1,3,0,1,0,0.044642857142857144,9.333333333333334,4.1298372311212885,16,15,12,3,1,17.0
294,47,37,6,0,0,0,0,1,0,0.016129032258064516,10.333333333333334,6.896053621859067,11,8,3,5,1,10.0
1401,191,135,24,5,5,0,0,9,0,0.01060070671378092,11.791666666666666,5.567608453266886,48,23,20,13,6,23.0
1887,259,158,30,7,7,2,2,28,0,0.008108108108108109,12.333333333333334,6.128258770283412,91,45,11,14,7,24.0
1545,227,156,30,20,20,2,1,24,0,0.006309148264984227,10.566666666666666,6.130162223700845,59,36,26,18,8,23.0
828,121,68,32,1,1,67,0,21,0,0.018518518518518517,5.0625,3.8644008267776777,43,20,10,2,3,18.0
1076,135,106,11,14,14,3,3,13,0,0.004694835680751174,19.363636363636363,15.511126371811756,35,31,12,14,5,12.0
481,71,50,5,1,1,0,0,10,0,0.030612244897959183,19.6,10.091580649234292,16,17,2,8,2,11.0
537,83,54,14,1,1,17,0,6,0,0.03333333333333333,8.571428571428571,5.24696219205913,24,9,9,2,0,20.0
524,73,60,6,9,9,0,0,11,0,0.08256880733944955,18.166666666666668,3.2871804872193366,17,16,12,4,3,14.0
626,93,55,3,0,0,0,0,0,0,0.0273972602739726,48.666666666666664,39.19467083956978,23,7,14,4,1,11.0
251,32,32,5,3,3,14,0,4,0,0.1702127659574468,9.4,5.986651818838306,11,8,4,1,2,8.0
598,94,62,3,3,3,0,0,8,0,0.022556390977443608,44.333333333333336,25.952948879762307,23,8,13,3,5,13.0
706,103,82,11,15,15,2,4,22,0,0.014285714285714285,12.727272727272727,7.136218875196495,42,14,9,2,1,20.0
273,40,29,7,0,0,6,0,5,0,0.017241379310344827,8.285714285714286,4.89064079103534,13,5,4,3,2,13.0
670,102,74,13,0,0,0,0,3,0,0.02054794520547945,11.23076923076923,5.293738625872386,27,13,9,8,5,16.0
584,84,59,6,1,1,0,0,2,0,0.03816793893129771,21.833333333333332,9.889669132764531,16,16,7,6,4,15.0
538,78,60,12,2,2,2,0,6,0,0.07142857142857142,9.333333333333334,4.73168985552613,17,21,5,3,6,16.0
245,39,29,7,3,3,12,0,11,0,0.018867924528301886,7.571428571428571,9.707981147446862,12,3,1,3,0,12.0
425,60,46,3,2,2,0,0,4,0,0.010526315789473684,31.666666666666668,10.530379332620875,16,13,6,2,0,16.0
253,39,31,3,0,0,0,0,0,0,0.017857142857142856,18.666666666666668,10.96458946893235,10,6,2,1,2,12.0
968,140,108,19,0,0,0,1,4,0,0.005235602094240838,10.052631578947368,5.062490381646757,47,20,8,10,7,20.0
473,72,46,6,0,0,0,0,0,0,0.027522935779816515,18.166666666666668,8.952032667997189,18,11,3,2,4,15.0
718,103,65,5,1,1,0,0,2,0,0.01818181818181818,33.0,10.488088481701515,20,21,4,4,3,16.0
917,141,105,18,7,7,0,0,9,0,0.010309278350515464,10.777777777777779,6.924638422614613,37,22,11,5,4,15.0
892,120,92,11,11,11,0,0,12,0,0.005847953216374269,15.545454545454545,8.294177983968758,38,28,16,8,8,14.0
1129,164,106,13,4,4,0,0,6,0,0.004347826086956522,17.692307692307693,8.2962884693617,51,42,5,9,6,16.0
658,98,52,7,3,3,0,0,10,0,0.013888888888888888,20.571428571428573,13.885831863111848,22,23,6,6,8,6.0
365,54,39,7,1,1,3,0,3,0,0.0375,11.428571428571429,4.16986271980755,10,10,7,4,5,14.0
571,83,62,4,6,6,0,0,5,0,0.023255813953488372,32.25,22.18529918662356,17,15,11,4,0,15.0
506,71,50,2,0,0,2,0,3,0,0.00909090909090909,55.0,3.0,15,9,9,7,3,15.0
657,89,73,7,0,0,0,0,0,0,0.05755395683453238,19.857142857142858,9.5831484749991,26,15,7,2,5,12.0
1657,216,157,23,10,10,4,3,18,0,0.015527950310559006,14.0,10.082270275738669,60,37,21,13,2,24.0
953,132,90,10,1,1,1,0,6,0,0.02512562814070352,19.9,16.71197175679758,40,21,3,8,5,20.0
714,102,77,11,1,1,2,0,4,0,0.006802721088435374,13.363636363636363,6.650669512062502,25,17,4,7,6,20.0
451,64,44,6,0,0,1,0,2,0,0.02,16.666666666666668,8.459051693633013,16,13,5,5,0,16.0
1353,189,152,18,20,20,2,4,25,0,0.011320754716981131,14.722222222222221,8.697416957257772,59,27,18,12,4,20.0
635,86,51,2,0,0,0,0,0,0,0.02158273381294964,69.5,38.5,33,7,7,2,3,9.0
177,26,22,3,0,0,0,0,0,0,0.02702702702702703,12.333333333333334,2.8674417556808756,10,5,1,3,2,7.0
392,55,48,6,6,6,0,1,6,0,0.037037037037037035,13.5,5.123475382979799,15,6,3,7,2,16.0
975,143,96,26,5,5,0,0,11,0,0.005154639175257732,7.461538461538462,2.8179475513868004,48,17,10,10,4,16.0
885,128,92,16,1,1,0,0,4,0,0.005555555555555556,11.25,4.520785330006281,29,26,13,6,7,22.0
173,23,20,2,2,2,0,0,1,0,0.20512820512820512,19.5,9.5,7,6,4,0,1,8.0
580,74,67,5,11,11,0,1,15,0,0.06542056074766354,21.4,14.10815367083872,26,17,5,4,2,14.0
1787,248,166,24,0,0,0,1,4,0,0.0028011204481792717,14.875,6.002169746572206,67,36,20,17,2,22.0
454,67,46,3,0,0,0,0,5,0,0.028846153846153848,34.666666666666664,26.71246067953223,16,4,2,4,2,16.0
413,59,48,7,1,1,0,0,2,0,0.046511627906976744,12.285714285714286,5.202040416009464,12,13,7,4,2,16.0
215,30,26,2,0,0,0,0,0,0,0.02127659574468085,23.5,4.5,7,10,0,1,2,8.0
1225,169,119,16,1,1,0,0,6,0,0.02040816326530612,15.3125,7.050875388914486,44,34,8,13,5,21.0
1483,211,120,18,15,15,0,0,15,0,0.003246753246753247,17.11111111111111,11.33768979451031,52,35,16,15,7,18.0
772,115,80,8,2,2,0,0,4,0,0.006211180124223602,20.125,14.286685234861164,27,30,12,9,3,16.0
345,50,40,6,3,3,0,0,7,0,0.11267605633802817,11.833333333333334,4.524623986832743,17,11,3,2,3,13.0
1165,169,105,22,6,6,0,0,5,0,0.004048582995951417,11.227272727272727,5.632146516219663,34,31,15,12,8,20.0
809,111,90,7,5,5,0,0,9,0,0.00625,22.857142857142858,11.921512025728608,32,13,10,7,1,21.0
982,135,95,16,10,10,1,2,13,0,0.026881720430107527,11.625,6.112231589198825,42,28,12,3,10,17.0
911,142,87,20,0,0,0,0,12,0,0.025,10.0,5.118593556827891,40,23,11,11,9,16.0
279,42,31,4,0,0,0,0,0,0,0.0625,16.0,2.5495097567963922,9,3,1,2,0,15.0
189,22,20,4,0,0,0,0,1,0,0.05714285714285714,8.75,3.897114317029974,7,5,3,2,1,7.0
928,145,86,20,2,2,0,1,3,0,0.014563106796116505,10.3,3.661966684720111,37,15,5,10,4,16.0
288,36,28,3,0,0,0,0,0,0,0.017241379310344827,19.333333333333332,6.548960901462833,14,7,1,3,2,6.0
278,43,31,5,0,0,0,0,2,0,0.01694915254237288,11.8,6.8527366796047255,10,7,1,5,3,13.0
531,75,62,7,1,1,0,0,3,0,0.02702702702702703,15.857142857142858,5.792324266489512,16,13,7,7,1,17.0
206,28,23,3,1,1,0,0,2,0,0.09090909090909091,14.666666666666666,3.858612300930075,6,7,4,0,1,9.0
213,32,29,3,3,3,0,0,3,0,0.06382978723404255,15.666666666666666,6.236095644623235,10,1,2,4,1,14.0
1040,149,101,20,5,5,0,0,22,0,0.041025641025641026,9.75,5.699780697535651,48,24,17,12,3,21.0
1187,172,120,14,5,5,0,0,13,0,0.007662835249042145,18.642857142857142,9.50644249862123,47,23,7,10,1,22.0
856,126,79,11,0,0,0,0,3,0,0.00558659217877095,16.272727272727273,6.729729281207908,33,12,8,7,6,16.0
1240,171,124,29,0,0,3,9,11,0,0.028,8.620689655172415,3.7270103864796877,48,31,14,10,3,22.0
667,87,70,8,9,9,0,0,8,0,0.007936507936507936,15.75,4.408798022137099,33,17,9,3,2,17.0
1215,160,110,2,1,1,3,0,17,0,0.028,125.0,94.0,50,26,12,14,4,21.0
304,44,33,6,0,0,6,0,1,0,0.07692307692307693,10.833333333333334,8.029459646963936,13,8,4,2,5,10.0
512,69,53,8,6,6,0,0,6,0,0.030612244897959183,12.25,5.141740950300783,19,12,6,7,6,14.0
1372,202,118,22,0,0,0,3,5,0,0.0034482758620689655,13.181818181818182,5.490788680196909,40,23,29,16,6,22.0
440,63,57,8,1,1,0,0,0,0,0.010752688172043012,11.625,4.871793817476269,19,6,4,4,2,14.0
663,88,67,10,4,4,3,0,2,0,0.022556390977443608,13.3,6.1489836558572835,25,12,8,7,6,18.0
885,121,77,5,0,0,0,0,3,0,0.005154639175257732,38.8,34.04937591204867,31,14,10,10,3,16.0
337,49,41,4,2,2,0,0,1,0,0.039473684210526314,19.0,8.276472678623424,15,6,3,2,1,13.0
600,82,72,9,9,9,0,0,11,0,0.05454545454545454,12.222222222222221,6.811392055108491,23,8,11,4,1,18.0
735,93,68,6,0,0,0,0,5,0,0.013605442176870748,24.5,13.288466176851765,30,31,9,1,7,12.0
247,38,23,1,0,0,0,0,7,0,0.01694915254237288,59.0,0.0,11,7,3,0,1,8.0
466,69,52,7,6,6,0,0,6,0,0.049019607843137254,14.571428571428571,2.8212025225902138,17,17,4,3,6,16.0
2497,342,232,34,19,19,0,0,29,0,0.01652892561983471,14.235294117647058,6.898673459566709,123,57,36,13,8,24.0
945,135,81,11,4,4,0,0,5,0,0.005025125628140704,18.09090909090909,6.625769875741309,38,18,10,9,10,18.0
562,85,64,11,1,1,6,0,8,0,0.016666666666666666,10.909090909090908,5.930729611018215,21,16,12,8,3,14.0
310,40,29,2,0,0,0,0,4,0,0.014705882352941176,34.0,31.0,14,7,6,1,2,8.0
368,44,34,5,0,0,3,0,2,0,0.10606060606060606,13.2,8.37615663654877,17,5,4,5,5,8.0
389,54,44,6,1,1,6,0,3,0,0.05263157894736842,12.666666666666666,7.133644853010899,14,10,5,3,1,13.0
